靡ㄩ絏,虏嘿,るら,Μ絃基(じ)
COID,Name,MDATE,CLOSE
1560   ,い         ,20190114,    46.1025
2303   ,羛筿         ,20190114,     7.6529
2329   ,地         ,20190114,    10.6280
2379   ,风琑         ,20190114,   106.9909
2363   ,参         ,20190114,     8.0235
2449   ,ㄊじ筿     ,20190114,    15.3235
2454   ,羛祇       ,20190114,   156.7213
2451   ,承ǎ         ,20190114,    41.7997
0051   ,じい100  ,20190114,    22.5802
0052   ,碔üм     ,20190114,     5.3834
0053   ,じ筿     ,20190114,    25.0991
0050   ,じ芖50   ,20190115,    14.8848
1301   ,鹅         ,20190115,    76.4040
6505   ,鹅て       ,20190115,    92.1408
1326   ,て         ,20190115,    81.4981
1303   ,玭ㄈ         ,20190115,    55.9434
1216   ,参         ,20190115,    55.4790
2912   ,参禬       ,20190115,   251.7604
9907   ,参龟       ,20190115,     9.5012
2855   ,参靡       ,20190115,     7.4022
1232   ,参痲       ,20190115,    73.7473
2317   ,翬         ,20190115,    52.3270
2354   ,翬非         ,20190115,    45.8620
3413   ,ㄊ供         ,20190115,    93.1863
6451   ,癟-KY      ,20190115,    67.6900
2330   ,縩筿       ,20190115,   186.0990
3443   ,承種         ,20190115,   170.2648
5347   ,         ,20190115,    41.7489
3374   ,弘         ,20190115,    29.2506
1560   ,い         ,20190115,    46.8241
2303   ,羛筿         ,20190115,     7.7563
2329   ,地         ,20190115,    10.4572
2379   ,风琑         ,20190115,   110.2773
2363   ,参         ,20190115,     8.1691
2449   ,ㄊじ筿     ,20190115,    15.2877
2454   ,羛祇       ,20190115,   157.7368
2451   ,承ǎ         ,20190115,    41.7997
0051   ,じい100  ,20190115,    22.7224
0052   ,碔üм     ,20190115,     5.3946
0053   ,じ筿     ,20190115,    25.3647
0050   ,じ芖50   ,20190116,    14.8651
1301   ,鹅         ,20190116,    76.0276
6505   ,鹅て       ,20190116,    90.4806
1326   ,て         ,20190116,    81.1137
1303   ,玭ㄈ         ,20190116,    55.7220
1216   ,参         ,20190116,    56.1715
2912   ,参禬       ,20190116,   248.9719
9907   ,参龟       ,20190116,     9.5760
2855   ,参靡       ,20190116,     7.3453
1232   ,参痲       ,20190116,    74.3493
2317   ,翬         ,20190116,    52.2526
2354   ,翬非         ,20190116,    45.8620
3413   ,ㄊ供         ,20190116,    95.3875
6451   ,癟-KY      ,20190116,    68.7248
2330   ,縩筿       ,20190116,   183.1517
3443   ,承種         ,20190116,   170.7152
5347   ,         ,20190116,    42.1088
3374   ,弘         ,20190116,    30.2089
1560   ,い         ,20190116,    46.5034
2303   ,羛筿         ,20190116,     7.7907
2329   ,地         ,20190116,    10.4146
2379   ,风琑         ,20190116,   112.1030
2363   ,参         ,20190116,     8.1872
2449   ,ㄊじ筿     ,20190116,    15.6099
2454   ,羛祇       ,20190116,   160.4447
2451   ,承ǎ         ,20190116,    41.5428
0051   ,じい100  ,20190116,    22.7224
0052   ,碔üм     ,20190116,     5.3912
0053   ,じ筿     ,20190116,    25.4063
0050   ,じ芖50   ,20190117,    14.8651
1301   ,鹅         ,20190117,    76.4040
6505   ,鹅て       ,20190117,    90.4806
1326   ,て         ,20190117,    81.8825
1303   ,玭ㄈ         ,20190117,    55.3530
1216   ,参         ,20190117,    56.0946
2912   ,参禬       ,20190117,   250.5653
9907   ,参龟       ,20190117,     9.5760
2855   ,参靡       ,20190117,     7.3738
1232   ,参痲       ,20190117,    74.4245
2317   ,翬         ,20190117,    52.4015
2354   ,翬非         ,20190117,    45.9414
3413   ,ㄊ供         ,20190117,    93.5531
6451   ,癟-KY      ,20190117,    68.2074
2330   ,縩筿       ,20190117,   185.6780
3443   ,承種         ,20190117,   168.9135
5347   ,         ,20190117,    41.5329
3374   ,弘         ,20190117,    29.8895
1560   ,い         ,20190117,    46.3430
2303   ,羛筿         ,20190117,     7.7563
2329   ,地         ,20190117,    10.4572
2379   ,风琑         ,20190117,   108.0863
2363   ,参         ,20190117,     8.0963
2449   ,ㄊじ筿     ,20190117,    15.7889
2454   ,羛祇       ,20190117,   160.4447
2451   ,承ǎ         ,20190117,    42.1849
0051   ,じい100  ,20190117,    22.7224
0052   ,碔üм     ,20190117,     5.4225
0053   ,じ筿     ,20190117,    25.5723
0050   ,じ芖50   ,20190118,    14.9438
1301   ,鹅         ,20190118,    77.1568
6505   ,鹅て       ,20190118,    91.7257
1326   ,て         ,20190118,    81.8825
1303   ,玭ㄈ         ,20190118,    55.7958
1216   ,参         ,20190118,    55.4790
2912   ,参禬       ,20190118,   254.9472
9907   ,参龟       ,20190118,     9.5386
2855   ,参靡       ,20190118,     7.4022
1232   ,参痲       ,20190118,    74.8008
2317   ,翬         ,20190118,    52.6992
2354   ,翬非         ,20190118,    46.4968
3413   ,ㄊ供         ,20190118,    94.6538
6451   ,癟-KY      ,20190118,    68.6385
2330   ,縩筿       ,20190118,   183.9938
3443   ,承種         ,20190118,   174.7692
5347   ,         ,20190118,    43.1885
3374   ,弘         ,20190118,    30.6196
1560   ,い         ,20190118,    46.5034
2303   ,羛筿         ,20190118,     7.8597
2329   ,地         ,20190118,    10.7987
2379   ,风琑         ,20190118,   111.3727
2363   ,参         ,20190118,     8.1418
2449   ,ㄊじ筿     ,20190118,    15.8247
2454   ,羛祇       ,20190118,   165.1836
2451   ,承ǎ         ,20190118,    42.3775
0051   ,じい100  ,20190118,    22.7856
0052   ,碔üм     ,20190118,     5.4303
0053   ,じ筿     ,20190118,    25.6138
0050   ,じ芖50   ,20190121,    15.0521
1301   ,鹅         ,20190121,    77.1568
6505   ,鹅て       ,20190121,    92.9709
1326   ,て         ,20190121,    83.0358
1303   ,玭ㄈ         ,20190121,    56.0910
1216   ,参         ,20190121,    56.0176
2912   ,参禬       ,20190121,   252.5571
9907   ,参龟       ,20190121,     9.5012
2855   ,参靡       ,20190121,     7.3738
1232   ,参痲       ,20190121,    74.8008
2317   ,翬         ,20190121,    52.9969
2354   ,翬非         ,20190121,    46.9729
3413   ,ㄊ供         ,20190121,    95.0206
6451   ,癟-KY      ,20190121,    70.1044
2330   ,縩筿       ,20190121,   186.0990
3443   ,承種         ,20190121,   180.1744
5347   ,         ,20190121,    43.4044
3374   ,弘         ,20190121,    30.5739
1560   ,い         ,20190121,    46.4232
2303   ,羛筿         ,20190121,     8.0665
2329   ,地         ,20190121,    10.5426
2379   ,风琑         ,20190121,   109.5469
2363   ,参         ,20190121,     8.1872
2449   ,ㄊじ筿     ,20190121,    15.7531
2454   ,羛祇       ,20190121,   165.5221
2451   ,承ǎ         ,20190121,    42.3775
0051   ,じい100  ,20190121,    22.8726
0052   ,碔üм     ,20190121,     5.5007
0053   ,じ筿     ,20190121,    25.8380
0050   ,じ芖50   ,20190122,    15.0216
1301   ,鹅         ,20190122,    77.5331
6505   ,鹅て       ,20190122,    92.1408
1326   ,て         ,20190122,    83.0358
1303   ,玭ㄈ         ,20190122,    56.3863
1216   ,参         ,20190122,    56.0946
2912   ,参禬       ,20190122,   254.1505
9907   ,参龟       ,20190122,     9.5012
2855   ,参靡       ,20190122,     7.3453
1232   ,参痲       ,20190122,    75.0265
2317   ,翬         ,20190122,    52.6248
2354   ,翬非         ,20190122,    46.2588
3413   ,ㄊ供         ,20190122,    93.9200
6451   ,癟-KY      ,20190122,    70.1044
2330   ,縩筿       ,20190122,   187.7832
3443   ,承種         ,20190122,   181.0753
5347   ,         ,20190122,    43.9083
3374   ,弘         ,20190122,    30.7108
1560   ,い         ,20190122,    46.5034
2303   ,羛筿         ,20190122,     8.0665
2329   ,地         ,20190122,    10.3719
2379   ,风琑         ,20190122,   109.9121
2363   ,参         ,20190122,     8.2145
2449   ,ㄊじ筿     ,20190122,    16.5050
2454   ,羛祇       ,20190122,   163.8296
2451   ,承ǎ         ,20190122,    42.0565
0051   ,じい100  ,20190122,    22.7935
0052   ,碔üм     ,20190122,     5.4728
0053   ,じ筿     ,20190122,    25.6969
0050   ,じ芖50   ,20190123,    14.9506
1301   ,鹅         ,20190123,    76.0276
6505   ,鹅て       ,20190123,    91.3107
1326   ,て         ,20190123,    81.8825
1303   ,玭ㄈ         ,20190123,    55.0578
1216   ,参         ,20190123,    55.7868
2912   ,参禬       ,20190123,   252.5571
9907   ,参龟       ,20190123,     9.5386
2855   ,参靡       ,20190123,     7.3168
1232   ,参痲       ,20190123,    75.1018
2317   ,翬         ,20190123,    51.8804
2354   ,翬非         ,20190123,    46.1794
3413   ,ㄊ供         ,20190123,    93.5531
6451   ,癟-KY      ,20190123,    69.8457
2330   ,縩筿       ,20190123,   185.6780
3443   ,承種         ,20190123,   183.3275
5347   ,         ,20190123,    44.4122
3374   ,弘         ,20190123,    33.7682
1560   ,い         ,20190123,    46.1025
2303   ,羛筿         ,20190123,     7.9631
2329   ,地         ,20190123,    10.3292
2379   ,风琑         ,20190123,   108.0863
2363   ,参         ,20190123,     8.1963
2449   ,ㄊじ筿     ,20190123,    17.1136
2454   ,羛祇       ,20190123,   163.1527
2451   ,承ǎ         ,20190123,    42.6986
0051   ,じい100  ,20190123,    22.7066
0052   ,碔üм     ,20190123,     5.4616
0053   ,じ筿     ,20190123,    25.8463
0050   ,じ芖50   ,20190124,    15.0216
1301   ,鹅         ,20190124,    75.2749
6505   ,鹅て       ,20190124,    89.2354
1326   ,て         ,20190124,    80.7293
1303   ,玭ㄈ         ,20190124,    55.0578
1216   ,参         ,20190124,    55.7098
2912   ,参禬       ,20190124,   255.7439
9907   ,参龟       ,20190124,     9.6882
2855   ,参靡       ,20190124,     7.3453
1232   ,参痲       ,20190124,    75.0265
2317   ,翬         ,20190124,    52.1037
2354   ,翬非         ,20190124,    46.3381
3413   ,ㄊ供         ,20190124,    92.8194
6451   ,癟-KY      ,20190124,    71.2254
2330   ,縩筿       ,20190124,   187.3621
3443   ,承種         ,20190124,   178.3727
5347   ,         ,20190124,    44.4122
3374   ,弘         ,20190124,    34.9547
1560   ,い         ,20190124,    46.1025
2303   ,羛筿         ,20190124,     8.0665
2329   ,地         ,20190124,    10.2012
2379   ,风琑         ,20190124,   113.9288
2363   ,参         ,20190124,     8.1872
2449   ,ㄊじ筿     ,20190124,    16.8630
2454   ,羛祇       ,20190124,   165.5221
2451   ,承ǎ         ,20190124,    42.4418
0051   ,じい100  ,20190124,    22.8568
0052   ,碔üм     ,20190124,     5.2885
0053   ,じ筿     ,20190124,    25.8463
0050   ,じ芖50   ,20190125,    15.2143
1301   ,鹅         ,20190125,    76.7804
6505   ,鹅て       ,20190125,    90.0655
1326   ,て         ,20190125,    82.6514
1303   ,玭ㄈ         ,20190125,    55.8696
1216   ,参         ,20190125,    56.4024
2912   ,参禬       ,20190125,   257.3373
9907   ,参龟       ,20190125,     9.6134
2855   ,参靡       ,20190125,     7.3453
1232   ,参痲       ,20190125,    75.1770
